29/09/2015 110 1 58 13 31 2 4 1
30/11/2015 15 3 4 0 2 2 4 0
08/11/2015 16 4 3 1 5 1 0 2
10/04/2016 27 1 6 4 9 2 5 0
09/06/2015 113 1 49 19 34 5 4 1
18/05/2015 52 1 17 8 19 4 2 1
18/05/2016 42 4 19 1 11 0 7 0
15/04/2016 29 2 15 3 3 2 3 1
28/08/2015 161 2 68 32 49 4 6 0
25/02/2016 21 4 8 3 1 1 3 1
19/04/2016 18 2 6 2 5 1 2 0
08/05/2016 44 2 17 9 10 1 4 1
02/09/2015 112 3 55 18 27 3 5 1
08/05/2015 56 4 21 9 19 1 2 0
16/12/2015 8 4 2 0 2 0 0 0
25/05/2015 54 4 20 7 14 2 7 0
25/05/2016 55 3 18 9 18 2 3 2
25/09/2015 136 2 51 23 49 2 5 4
24/10/2015 34 1 10 6 13 1 3 0
09/10/2015 28 2 11 2 8 0 4 1
07/05/2015 41 1 16 5 10 0 7 2
08/10/2015 31 3 9 6 6 2 3 2
07/05/2016 51 3 18 9 12 3 4 2
18/06/2015 129 1 53 22 41 4 6 2
29/04/2016 22 4 6 4 2 2 3 1
02/07/2015 162 2 76 21 56 2 3 2
18/07/2015 205 2 98 34 61 4 6 0
24/02/2016 17 1 6 4 4 1 1 0
29/05/2015 52 4 15 9 17 2 5 0
22/01/2016 8 4 1 0 2 0 0 1
29/05/2016 53 3 21 9 10 5 4 1
23/07/2015 198 2 102 32 46 5 7 4
13/05/2016 54 5 27 8 9 2 3 0
13/05/2015 55 3 16 6 21 2 6 1
04/11/2015 11 1 2 3 4 0 0 1
18/03/2016 18 4 5 4 4 0 1 0
21/12/2015 9 4 0 0 5 0 0 0
23/04/2016 24 3 5 5 5 1 5 0
14/08/2015 168 2 80 27 52 1 5 1
28/03/2016 16 3 5 1 5 1 1 0
26/08/2015 167 4 75 33 44 5 6 0
07/06/2015 135 4 59 19 43 5 4 1
30/01/2016 7 2 0 2 3 0 0 0
05/02/2016 15 2 3 6 4 0 0 0
11/01/2016 6 1 1 2 0 0 1 1
22/02/2016 18 4 4 0 4 1 4 1
10/10/2015 26 1 9 12 2 1 1 0
19/12/2015 7 2 1 2 0 1 1 0
03/07/2015 229 2 106 46 63 5 5 2
21/09/2015 103 1 41 25 23 6 6 1
24/04/2016 25 3 5 2 6 3 4 2
13/03/2016 24 4 7 0 6 1 5 1
06/08/2015 137 4 68 24 31 1 6 3
12/04/2016 24 3 6 4 7 2 1 1
07/01/2016 8 3 1 0 2 1 1 0
28/04/2016 24 1 5 4 8 1 4 1
09/02/2016 16 2 5 2 2 1 3 1
06/03/2016 16 3 5 1 4 2 1 0
07/03/2016 19 2 4 3 5 5 0 0
10/06/2015 126 5 55 18 37 1 8 2
09/04/2016 17 2 5 1 6 1 2 0
26/04/2016 17 3 6 1 5 1 1 0
25/08/2015 146 3 67 21 47 3 5 0
13/11/2015 14 2 3 3 3 1 1 1
16/02/2016 19 2 3 2 6 2 3 1
19/09/2015 133 2 53 26 40 3 8 1
28/05/2015 56 4 23 9 11 2 5 2
28/05/2016 65 1 27 10 16 5 5 1
22/12/2015 7 1 2 0 3 1 0 0
03/04/2016 17 2 5 2 5 1 2 0
01/02/2016 19 1 9 4 1 2 2 0
06/04/2016 29 3 9 5 6 1 2 3
10/02/2016 21 2 11 0 3 3 0 2
05/12/2015 10 2 4 2 0 0 1 1
10/05/2015 47 4 17 2 16 4 3 1
10/05/2016 64 4 18 9 21 4 5 3
10/09/2015 108 3 53 14 29 2 6 1
11/10/2015 36 2 10 7 10 4 3 0
27/09/2015 114 3 48 19 38 2 3 1
02/02/2016 21 2 6 2 5 2 4 0
10/01/2016 9 4 0 1 2 1 1 0
01/01/2016 7 3 1 2 0 0 1 0
11/02/2016 19 3 6 1 3 3 2 1
08/01/2016 10 3 4 0 2 0 1 0
22/07/2015 173 2 87 32 42 4 4 2
26/02/2016 14 1 3 3 4 3 0 0
09/07/2015 190 1 93 38 50 2 4 2
26/12/2015 8 3 1 2 1 1 0 0
16/07/2015 166 2 84 28 44 3 5 0
23/02/2016 20 4 4 4 2 3 1 2
20/01/2016 8 1 2 1 3 1 0 0
27/11/2015 10 1 3 3 1 0 2 0
24/05/2015 54 3 23 9 12 2 5 0
24/05/2016 63 1 31 8 8 5 8 2
30/03/2016 21 2 4 4 0 6 3 2
26/07/2015 221 4 101 44 63 3 4 2
14/12/2015 9 3 0 2 2 0 1 1
12/02/2016 15 3 1 3 1 6 1 0
16/04/2016 27 3 13 5 2 1 2 1
27/12/2015 7 3 1 0 1 1 0 1
07/08/2015 201 1 86 30 68 7 6 3
24/08/2015 167 2 77 30 45 5 8 0
01/11/2015 15 2 7 2 2 0 1 1
19/03/2016 17 3 4 4 3 1 2 0
24/03/2016 18 1 5 1 5 0 5 1
13/08/2015 112 1 64 18 24 2 3 0
08/06/2015 128 2 63 18 32 3 7 3
29/02/2016 12 1 3 2 2 2 2 0
17/02/2016 15 4 2 2 3 2 2 0
03/10/2015 55 2 23 6 15 4 2 3
02/05/2015 39 3 12 10 8 5 0 1
14/09/2015 113 2 53 25 30 1 0 2
28/01/2016 10 4 2 2 1 0 1 0
11/04/2016 25 2 9 4 7 0 2 1
20/02/2016 18 3 5 3 4 1 2 0
26/09/2015 116 1 49 26 32 3 3 2
01/04/2016 22 1 7 2 3 4 4 1
23/03/2016 15 4 6 0 1 1 3 0
14/11/2015 14 4 2 4 2 0 2 0
21/04/2016 19 1 6 1 6 2 1 2
08/07/2015 196 3 84 48 56 1 3 1
22/10/2015 35 4 9 11 5 2 4 0
03/06/2015 105 2 44 21 27 6 4 1
21/07/2015 176 3 81 33 43 5 9 2
13/04/2016 23 1 7 5 2 2 4 2
10/08/2015 161 4 80 34 38 1 4 0
27/08/2015 150 2 70 19 54 1 3 1
12/01/2016 8 3 1 1 0 0 1 2
17/12/2015 7 3 2 0 1 0 0 1
09/09/2015 113 3 42 22 32 7 4 3
03/03/2016 18 1 3 1 7 1 4 1
27/03/2016 20 3 7 1 5 1 2 1
23/05/2016 37 1 19 3 10 2 2 0
23/05/2015 56 3 19 9 20 1 3 1
29/08/2015 155 1 69 22 54 2 5 2
03/02/2016 17 4 5 0 2 2 1 3
20/12/2015 8 3 1 1 1 0 2 0
03/05/2015 48 3 17 10 12 2 4 0
08/02/2016 20 1 5 3 5 3 3 0
03/05/2016 58 2 24 10 10 6 5 1
03/09/2015 121 2 59 24 26 1 5 4
02/06/2015 95 4 39 21 24 2 5 0
02/10/2015 48 1 17 7 19 2 1 1
12/09/2015 137 3 61 19 45 0 6 3
18/12/2015 8 2 1 0 2 0 1 2
22/09/2015 97 3 49 22 19 1 2 1
29/01/2016 8 1 4 1 0 1 1 0
17/07/2015 232 3 122 48 53 1 4 1
13/02/2016 21 4 5 4 3 3 2 0
21/02/2016 12 1 2 1 3 0 4 1
13/12/2015 10 4 3 2 1 0 0 0
05/07/2015 250 3 119 50 65 7 5 1
15/01/2016 8 4 1 1 2 0 0 0
23/11/2015 13 3 3 1 4 0 0 2
12/11/2015 14 3 5 0 3 0 2 1
11/05/2015 53 4 22 10 11 1 4 1
11/05/2016 47 4 20 2 13 4 4 0
13/07/2015 202 2 94 30 61 5 8 2
09/01/2016 9 4 3 0 0 0 0 2
07/12/2015 5 1 1 0 1 1 1 0
08/03/2016 13 3 5 1 1 0 2 1
05/04/2016 23 4 3 4 6 0 4 2
28/10/2015 30 3 10 3 8 0 4 2
12/12/2015 6 2 3 0 0 0 1 0
06/10/2015 32 2 11 6 10 0 3 0
30/08/2015 175 4 82 33 48 5 3 0
11/08/2015 170 4 76 32 43 4 6 5
31/12/2015 7 2 3 1 1 0 0 0
27/07/2015 181 3 82 36 51 5 3 1
29/12/2015 8 1 3 1 2 1 0 0
19/08/2015 148 2 85 21 26 3 10 1
11/03/2016 19 3 5 2 6 1 0 2
25/03/2016 21 1 8 0 7 1 3 1
31/08/2015 153 3 78 18 38 4 10 2
26/06/2015 137 2 64 22 41 3 5 0
04/02/2016 18 2 7 3 5 1 0 0
15/11/2015 11 3 2 1 3 1 0 1
27/05/2016 53 1 21 9 20 0 2 0
27/05/2015 47 3 22 11 10 0 1 0
02/04/2016 23 3 5 4 4 3 2 2
29/07/2015 182 4 90 26 45 5 9 3
15/02/2016 16 3 3 3 1 1 4 1
20/07/2015 184 2 85 37 47 6 5 2
13/09/2015 141 4 67 18 40 3 8 1
18/11/2015 10 1 1 3 1 2 2 0
16/03/2016 18 4 4 4 1 3 2 0
07/11/2015 8 1 4 1 0 0 2 0
23/09/2015 111 1 46 25 30 2 6 1
30/12/2015 9 3 1 2 2 0 1 0
14/04/2016 19 2 7 1 7 2 0 0
18/09/2015 108 4 39 32 28 4 0 1
15/10/2015 32 4 10 7 8 1 2 0
20/08/2015 128 2 56 28 33 0 5 4
25/12/2015 10 3 3 2 1 0 0 1
17/10/2015 29 4 11 3 9 0 0 2
19/02/2016 14 2 4 2 1 3 2 0
14/07/2015 174 1 77 34 39 7 13 3
03/08/2015 176 1 84 33 43 8 6 1
12/05/2016 56 3 17 6 16 3 7 4
12/08/2015 137 2 73 22 28 4 7 1
09/11/2015 10 2 2 0 6 0 0 0
23/08/2015 171 1 77 30 51 6 6 0
04/12/2015 7 1 1 1 0 1 2 1
30/05/2016 43 3 20 3 8 4 3 2
30/05/2015 51 3 17 11 14 3 3 0
24/11/2015 13 4 2 2 5 0 0 0
12/03/2016 15 3 3 3 3 1 2 0
25/11/2015 15 5 2 1 4 1 1 1
16/05/2016 53 1 17 14 13 1 4 3
16/05/2015 53 3 16 6 23 0 2 3
29/03/2016 14 2 7 0 3 1 1 0
08/09/2015 107 1 47 16 34 3 4 2
15/12/2015 8 2 2 1 2 0 0 1
19/05/2015 52 2 18 6 18 2 6 0
19/05/2016 53 4 14 7 15 6 6 1
28/11/2015 13 3 3 3 1 1 2 0
01/09/2015 146 2 75 25 34 5 4 1
20/10/2015 24 3 7 2 2 3 7 0
17/09/2015 119 1 49 26 37 3 2 1
07/09/2015 102 4 37 18 31 6 4 2
04/07/2015 230 2 104 44 72 4 4 0
14/02/2016 21 3 2 2 6 0 6 2
24/12/2015 6 1 2 0 2 0 1 0
23/01/2016 7 1 1 3 0 0 2 0
06/01/2016 9 3 1 0 3 0 2 0
22/08/2015 156 3 70 26 47 1 8 1
16/11/2015 15 4 2 1 5 2 1 0
22/04/2016 22 1 4 6 5 3 3 0
02/01/2016 5 1 1 1 0 0 2 0
29/06/2015 156 1 73 27 47 3 4 1
02/05/2016 42 3 14 7 12 3 1 2
25/01/2016 10 5 1 0 1 0 2 1
30/06/2015 135 2 61 22 46 1 3 0
01/12/2015 8 2 4 0 0 0 1 1
02/08/2015 211 1 111 35 48 4 10 2
12/07/2015 222 2 103 53 56 1 5 2
26/01/2016 7 2 3 0 1 1 0 0
02/03/2016 20 1 5 5 6 0 1 2
31/05/2016 59 2 22 7 13 9 4 2
10/03/2016 20 2 7 2 6 0 2 1
31/05/2015 52 3 18 7 15 6 1 2
13/06/2015 134 1 63 26 36 3 2 3
30/10/2015 33 1 15 4 4 4 3 2
06/11/2015 14 3 5 4 1 0 1 0
31/10/2015 38 4 15 5 7 3 3 1
12/05/2015 55 4 15 12 15 2 4 3
20/11/2015 10 2 1 2 1 2 2 0
06/02/2016 19 2 5 2 2 1 6 1
15/07/2015 137 1 59 24 44 3 6 0
19/06/2015 139 3 64 25 40 3 3 1
05/03/2016 22 4 4 3 7 3 0 1
06/09/2015 116 3 53 17 31 3 7 2
16/09/2015 102 2 47 14 32 1 4 2
07/04/2016 19 4 8 1 2 0 2 2
20/06/2015 160 3 75 29 46 1 2 4
10/12/2015 8 3 2 0 2 0 1 0
04/10/2015 49 2 19 6 11 5 5 1
26/10/2015 35 2 10 6 7 2 4 4
18/10/2015 29 4 8 5 9 1 1 1
19/10/2015 27 3 9 0 9 0 5 1
07/07/2015 178 3 78 35 53 3 5 1
18/02/2016 17 1 3 3 5 1 2 2
28/09/2015 110 4 44 18 37 3 2 2
19/11/2015 14 2 1 2 3 2 2 2
23/10/2015 33 2 6 10 8 2 4 1
15/09/2015 128 3 53 24 35 7 5 1
01/08/2015 203 2 96 31 60 6 6 2
16/08/2015 162 4 79 33 40 5 1 0
11/11/2015 16 4 5 0 2 1 4 0
01/03/2016 18 3 7 1 3 1 3 0
10/11/2015 14 4 2 2 4 0 1 1
22/03/2016 12 1 1 0 4 1 4 1
27/06/2015 147 4 73 21 39 1 4 5
21/10/2015 28 2 7 3 7 5 4 0
